Subject,Feature Key,Mean r,Median r,Max r,% Positive Parcels
sub-01,enc-10layer-fc2,0.07512917601362278,0.043952880427241325,0.4141041934490204,93.0
sub-01,enc-18layer-norm2,0.09537954603262733,0.05625474266707897,0.474917471408844,94.39999999999999
sub-01,enc-20layer-fc2,0.0881112049468611,0.04965973272919655,0.44343751668930054,94.1
sub-01,enc-last-ln,0.09513410665662354,0.058074649423360825,0.4676167070865631,97.0
sub-02,enc-10layer-fc2,0.05934246443051961,0.03161684796214104,0.420718252658844,92.60000000000001
sub-02,enc-18layer-norm2,0.07947209349608601,0.03963446989655495,0.4630209803581238,94.1
sub-02,enc-20layer-fc2,0.07168583346898959,0.03590082377195358,0.43695175647735596,94.0
sub-02,enc-last-ln,0.07897563840220846,0.04365622438490391,0.45663201808929443,95.7
sub-03,enc-10layer-fc2,0.07264921364977636,0.04182611219584942,0.4482257664203644,91.3
sub-03,enc-18layer-norm2,0.09655033427699891,0.05803946778178215,0.49976101517677307,96.39999999999999
sub-03,enc-20layer-fc2,0.08701384383949334,0.05197800137102604,0.4815097451210022,95.8
sub-03,enc-last-ln,0.0937516709046322,0.05557178519666195,0.4835960268974304,95.39999999999999
sub-05,enc-10layer-fc2,0.05626973300901227,0.03345032408833504,0.354199081659317,90.3
sub-05,enc-18layer-norm2,0.07529219855173142,0.04625510983169079,0.4121163785457611,93.10000000000001
sub-05,enc-20layer-fc2,0.06705721831604024,0.04195714183151722,0.3849363923072815,91.5
sub-05,enc-last-ln,0.07294720659672749,0.0482119657099247,0.3777983486652374,94.8
